Park Name,Year,Cause of Death
Ozark National Scenic Riverways,2010,3
Acadia National Park,2012,3
Joshua Tree National Park,2017,3
Acadia National Park,2013,3
National Mall & Memorial Parks,2013,3
Jean Lafitte National Historical Park & Preserve,2015,3
Colorado National Monument,2014,3
Redwood National and State Parks,2013,3
Colorado National Monument,2017,3
Joshua Tree National Park,2011,3
Redwood National and State Parks,2014,3
Colorado National Monument,2021,3
Shenandoah National Park,2022,3
Denali National Park & Preserve,2019,3
Chattahoochee River National Recreation Area,2011,3
Pictured Rocks National Lakeshore,2021,3
Death Valley National Park,2020,3
Lake Meredith National Recreation Area,2018,3
Natchez Trace Parkway,2011,3
Cape Cod National Seashore,2017,3
Gulf Islands National Seashore,2020,3
Gulf Islands National Seashore,2019,3
Upper Delaware Scenic & Recreational River,2013,3
Delaware Water Gap National Recreation Area,2019,3
Gulf Islands National Seashore,2017,3
Gulf Islands National Seashore,2016,3
Upper Delaware Scenic & Recreational River,2015,3
Denali National Park & Preserve,2009,3
Lake Roosevelt National Recreation Area,2013,3
Denali National Park & Preserve,2014,3
Denali National Park & Preserve,2015,3
Canyonlands National Park,2013,3
Cape Hatteras National Seashore,2011,3
Upper Delaware Scenic & Recreational River,2008,3
Suitland,2008,3
Cuyahoga Valley National Park,2023,3
Zion National Park,2008,3
Anacostia Park,2021,3
Cuyahoga Valley National Park,2015,3
Sleeping Bear DunesNational Lakeshore,2016,3
Cuyahoga Valley National Park,2017,3
Death Valley National Park,2016,3
Suitland,2015,3
Grand Teton National Park,2007,3
Arches National Park,2016,3
Arches National Park,2019,3
Suitland,2023,3
Assateague Island National Seashore,2014,3
Mount Rushmore National Memorial,2018,2
Mount Rainier National Park,2021,2
Mount Rainier National Park,2015,2
New River Gorge National River,2007,2
National Mall & Memorial Parks,2023,2
Mount Rainier National Park,2023,2
Mount Rainier National Park,2022,2
Mount Rainier National Park,2017,2
Mount Rainier National Park,2016,2
Mojave National Preserve,2020,2
Mount Rainier National Park,2013,2
Ozark National Scenic Riverways,2014,2
Grand Teton National Park,2009,2
Hot Springs National Park,2016,2
Olympic National Park,2013,2
Olympic National Park,2014,2
Lake Meredith National Recreation Area,2015,2
Lake Meredith National Recreation Area,2012,2
Point Reyes National Seashore,2013,2
Point Reyes National Seashore,2012,2
Point Reyes National Seashore,2007,2
Haleakala National Park,2018,2
Pinnacles National Park,2021,2
Harpers Ferry National Historical Park,2017,2
Hawaii Volcanoes National Park,2009,2
Hawaii Volcanoes National Park,2015,2
Hawaii Volcanoes National Park,2022,2
Petroglyph National Monument,2018,2
Mojave National Preserve,2014,2
Pea Ridge National Military Park,2013,2
Padre Island National Seashore,2019,2
Padre Island National Seashore,2018,2
Indiana Dunes National Park,2020,2
Olympic National Park,2022,2
Lake Clark National Park & Preserve,2014,2
Ozark National Scenic Riverways,2018,2
Joshua Tree National Park,2013,2
Olympic National Park,2023,2
Kennesaw Mountain National Battlefield Park,2019,2
Kennesaw Mountain National Battlefield Park,2018,2
Organ Pipe Cactus National Monument,2023,2
Katmai National Park & Preserve,2018,2
Gulf Islands National Seashore,2018,2
Lake Meredith National Recreation Area,2023,2
Lake Roosevelt National Recreation Area,2007,2
Gulf Islands National Seashore,2015,2
Grand Teton National Park,2010,2
Niobrara National Scenic River,2017,2
North Cascades National Park,2007,2
Mammoth Cave National Park,2019,2
Mammoth Cave National Park,2017,2
Lowell National Historical Park,2021,2
Little River Canyon National Preserve,2019,2
Redwood National and State Parks,2008,2
Great Falls,2008,2
Great Falls,2010,2
Great Falls Park,2015,2
Great Falls Park,2018,2
Prince William Forest Park,2015,2
Little River Canyon National Preserve,2015,2
North Cascades National Park,2014,2
Little River Canyon National Preserve,2012,2
Little River Canyon National Preserve,2008,2
Presidio of San Francisco,2018,2
Great Smoky Mountains National Park,2007,2
Lassen Volcanic National Park,2008,2
Lake Roosevelt National Recreation Area,2023,2
Great Smoky Mountains National Park,2023,2
Lake Roosevelt National Recreation Area,2016,2
Gulf Islands National Seashore,2009,2
Gulf Islands National Seashore,2011,2
Lake Roosevelt National Recreation Area,2011,2
Olympic National Park,2007,2
North Cascades National Park,2019,2
Everglades National Park,2017,2
Buffalo National River,2018,2
Death Valley National Park,2009,2
Cape Hatteras National Seashore,2010,2
Santa Monica Mountains National Recreation Area,2016,2
Cape Hatteras National Seashore,2013,2
Big Thicket National Preserve,2008,2
White Sands National Park,2015,2
Big Thicket National Preserve,2012,2
Upper Delaware Scenic & Recreational River,2007,2
Whiskeytown National Recreation Area,2022,2
Big Thicket National Preserve,2016,2
Whiskeytown National Recreation Area,2021,2
Cape Hatteras National Seashore,2022,2
Whiskeytown National Recreation Area,2020,2
Sequoia & Kings Canyon National Parks,2007,2
Cumberland Gap National Historical Park,2014,2
Sequoia & Kings Canyon National Parks,2008,2
Sequoia & Kings Canyon National Parks,2009,2
Craters Of The Moon National Monument & Preserve,2013,2
Curecanti National Recreation Area,2016,2
Big South Fork National River and Recreation Area,2021,2
Upper Delaware Scenic & Recreational River,2009,2
Big South Fork National River and Recreation Area,2014,2
Cuyahoga Valley National Park,2019,2
Canyonlands National Park,2019,2
Virgin Islands National Park,2016,2
Big South Fork National River and Recreation Area,2010,2
Cape Cod National Seashore,2010,2
Cape Cod National Seashore,2014,2
Cuyahoga Valley National Park,2011,2
Cape Cod National Seashore,2019,2
Virgin Islands National Park,2011,2
Cuyahoga Valley National Park,2010,2
Cape Cod National Seashore,2020,2
Santa Monica Mountains National Recreation Area,2014,2
Curecanti National Recreation Area,2022,2
Curecanti National Recreation Area,2021,2
Big South Fork National River and Recreation Area,2016,2
Curecanti National Recreation Area,2019,2
Whiskeytown National Recreation Area,2019,2
Boston National Historical Park,2018,2
Bighorn Canyon National Recreation Area,2011,2
Chickasaw National Recreation Area,2009,2
Shenandoah National Park,2013,2
Shenandoah National Park,2014,2
Biscayne National Park,2014,2
Shenandoah National Park,2015,2
Virgin Islands National Park,2023,2
Channel Islands National Park,2014,2
Shenandoah National Park,2017,2
Biscayne National Park,2022,2
Catoctin Mountain Park,2016,2
Shenandoah National Park,2020,2
Sleeping Bear DunesNational Lakeshore,2014,2
Chickamauga & Chattanooga National Military Park,2015,2
Sleeping Bear Dunes National Lakeshore,2018,2
Chesapeake & Ohio Canal National Historical Park,2018,2
Chesapeake & Ohio Canal National Historical Park,2017,2
Chesapeake & Ohio Canal National Historical Park,2015,2
Clara Barton National Historic Site,2016,2
Carlsbad Caverns National Park,2017,2
Crater Lake National Park,2016,2
Blue Ridge Parkway,2009,2
Crater Lake National Park,2013,2
Biscayne National Park,2007,2
Colorado National Monument,2023,2
Virgin Islands National Park,2020,2
Colorado National Monument,2020,2
Colorado National Monument,2019,2
Colorado National Monument,2018,2
Colorado National Monument,2015,2
Clara Barton National Historic Site,2018,2
Colonial National Historical Park,2020,2
Suitland,2020,2
Biscayne National Park,2011,2
Colonial National Historical Park,2018,2
Colonial National Historical Park,2011,2
Shenandoah National Park,2008,2
Shenandoah National Park,2012,2
Death Valley National Park,2007,2
