,Park Name,Year,Cause of Death
232,Glacier National Park,2010,5
233,Glacier National Park,2013,5
234,Baltimore-Washington Parkway,2018,5
235,Big Cypress National Preserve,2018,5
236,Olympic National Park,2016,5
237,Great Falls Park,2017,5
238,Mount Rainier National Park,2019,5
239,Rocky Mountain National Park,2013,5
240,Upper Delaware Scenic & Recreational River,2011,5
241,Olympic National Park,2015,5
242,Chesapeake & Ohio Canal National Historical Park,2019,5
243,Yosemite National Park,2023,5
244,Delaware Water Gap National Recreation Area,2011,5
245,Delaware Water Gap National Recreation Area,2015,5
246,Delaware Water Gap National Recreation Area,2016,5
247,Delaware Water Gap National Recreation Area,2020,5
248,Denali National Park & Preserve,2007,5
249,Olympic National Park,2010,5
250,Upper Delaware Scenic & Recreational River,2022,5
251,Denali National Park & Preserve,2016,5
252,Denali National Park & Preserve,2018,5
253,Point Reyes National Seashore,2017,5
254,Golden Gate National Recreation Area,2011,5
255,Yosemite National Park,2013,5
256,Everglades National Park,2018,5
257,Rocky Mountain National Park,2017,5
258,Virgin Islands National Park,2018,5
259,Big Bend National Park,2023,5
260,Sequoia & Kings Canyon National Parks,2020,4
261,Colorado National Monument,2013,4
262,Ozark National Scenic Riverways,2019,4
263,Padre Island National Seashore,2016,4
264,Great Falls,2009,4
265,Indiana Dunes National Park,2012,4
266,Grand Teton National Park,2016,4
267,Golden Gate National Recreation Area,2023,4
268,Redwood National and State Parks,2015,4
269,Glacier National Park,2019,4
270,Glacier National Park,2014,4
271,Glacier Bay National Park & Preserve,2018,4
272,Grand Teton National Park,2008,4
273,George Washington Memorial Parkway,2020,4
274,George Washington Memorial Parkway,2018,4
275,George Washington Memorial Parkway,2016,4
276,George Washington Memorial Parkway,2015,4
277,Grand Teton National Park,2015,4
278,Rock Creek Park,2016,4
279,Santa Monica Mountains National Recreation Area,2019,4
280,Gateway National Recreation Area,2020,4
281,Joshua Tree National Park,2018,4
282,Saguaro National Park,2012,4
283,Presidio of San Francisco,2015,4
284,Presidio of San Francisco,2014,4
285,Delaware Water Gap National Recreation Area,2007,4
286,Death Valley National Park,2023,4
287,Death Valley National Park,2015,4
288,Death Valley National Park,2012,4
289,Cuyahoga Valley National Park,2022,4
290,Curecanti National Recreation Area,2018,4
291,Sequoia & Kings Canyon National Parks,2021,4
292,Zion National Park,2022,4
293,Lake Roosevelt National Recreation Area,2015,4
294,Little River Canyon National Preserve,2020,4
295,Little River Canyon National Preserve,2017,4
296,Cape Cod National Seashore,2011,4
297,Cape Hatteras National Seashore,2023,4
298,Natchez Trace Parkway,2023,4
299,Zion National Park,2019,4
300,Chattahoochee River National Recreation Area,2021,4
301,Wrangell - St Elias National Park & Reserve,2018,4
302,Little River Canyon National Preserve,2016,4
303,Blue Ridge Parkway,2012,4
304,National Mall & Memorial Parks,2017,4
305,Zion National Park,2014,4
306,Chattahoochee River National Recreation Area,2015,4
307,Cape Cod National Seashore,2018,4
308,Virgin Islands National Park,2022,4
309,Buffalo National River,2014,4
310,Baltimore-Washington Parkway,2016,4
311,Apostle Islands National Lakeshore,2018,4
312,Appalachian National Scenic Trail,2018,4
313,Appalachian National Scenic Trail,2019,4
314,Lake Meredith National Recreation Area,2017,4
315,Cape Hatteras National Seashore,2019,4
316,Big Bend National Park,2016,4
317,Cape Hatteras National Seashore,2020,4
318,North Cascades National Park,2017,4
319,Suitland,2016,4
320,Buffalo National River,2010,4
321,Olympic National Park,2018,4
322,National Mall & Memorial Parks,2018,4
323,Chattahoochee River National Recreation Area,2022,4
324,New River Gorge National River,2023,4
325,National Mall & Memorial Parks,2014,4
326,Canyonlands National Park,2008,4
327,New River Gorge National River,2013,4
328,Katmai National Park & Preserve,2007,4
329,Canaveral National Seashore,2021,4
330,Canyonlands National Park,2015,4
331,Shenandoah National Park,2016,4
332,Acadia National Park,2016,4
333,Bighorn Canyon National Recreation Area,2018,4
334,Biscayne National Park,2009,4
335,National Mall & Memorial Parks,2019,4
336,Lake Roosevelt National Recreation Area,2018,4
337,Natchez Trace Parkway,2013,4
338,Mammoth Cave National Park,2015,4
339,Lake Roosevelt National Recreation Area,2019,4
340,Buffalo National River,2021,4
341,North Cascades National Park,2008,4
342,Mount Rainier National Park,2008,4
343,National Mall & Memorial Parks,2020,4
344,Wilson's Creek National Battlefield,2017,4
345,Acadia National Park,2021,4
346,Saguaro National Park,2019,3
347,Yellowstone National Park,2013,3
348,Baltimore-Washington Parkway,2017,3
349,Point Reyes National Seashore,2019,3
350,Lake Roosevelt National Recreation Area,2020,3
351,Guadalupe Mountains National Park,2015,3
352,Great Smoky Mountains National Park,2012,3
353,Great Smoky Mountains National Park,2011,3
354,North Cascades National Park,2018,3
355,Lake Roosevelt National Recreation Area,2017,3
356,Shenandoah National Park,2011,3
357,Big Bend National Park,2013,3
358,North Cascades National Park,2022,3
359,Buffalo National River,2016,3
360,Saguaro National Park,2018,3
361,Saint Croix National Scenic Riverway,2014,3
362,Glen Canyon National Recreation Area,2010,3
363,Chesapeake & Ohio Canal National Historical Park,2021,3
364,Buffalo National River,2008,3
365,Great Smoky Mountains National Park,2008,3
366,Grand Teton National Park,2021,3
367,Grand Teton National Park,2019,3
368,Rock Creek Park,2018,3
369,Grand Teton National Park,2017,3
370,Gauley River National Recreation Area,2010,3
371,Mojave National Preserve,2022,3
372,Mesa Verde National Park,2018,3
373,Grand Teton National Park,2011,3
374,Grand Canyon National Park,2023,3
375,Whiskeytown National Recreation Area,2015,3
376,Big Thicket National Preserve,2019,3
377,George Washington Memorial Parkway,2017,3
378,New River Gorge National River,2010,3
379,New River Gorge National River,2009,3
380,New River Gorge National River,2008,3
381,Gateway National Recreation Area,2017,3
382,Glacier National Park,2011,3
383,Wrangell - St Elias National Park & Reserve,2015,3
384,Fort Dupont Park,2021,3
385,Rocky Mountain National Park,2023,3
386,Rocky Mountain National Park,2020,3
387,Big Bend National Park,2017,3
388,Virgin Islands National Park,2015,3
389,Big Bend National Park,2022,3
390,Virgin Islands National Park,2017,3
391,Glacier National Park,2017,3
392,Gateway National Recreation Area,2010,3
393,Rocky Mountain National Park,2009,3
394,Great Falls Park,2019,3
395,Glacier National Park,2016,3
396,Blue Ridge Parkway,2021,3
397,Glacier National Park,2015,3
398,Blue Ridge Parkway,2008,3
399,Virgin Islands National Park,2019,3
400,Yellowstone National Park,2017,3
401,Denali National Park & Preserve,2022,3
402,Anacostia Park,2015,3
403,Ozark National Scenic Riverways,2022,3
404,Chesapeake & Ohio Canal National Historical Park,2016,3
405,Indiana Dunes National Park,2022,3
406,Golden Gate National Recreation Area,2021,3
407,Sequoia & Kings Canyon National Parks,2010,3
408,Crater Lake National Park,2019,3
409,Indiana Dunes National Park,2018,3
410,Chesapeake & Ohio Canal National Historical Park,2009,3
411,Cumberland Gap National Historical Park,2018,3
412,Chattahoochee River National Recreation Area,2020,3
413,Indiana Dunes National Park,2008,3
414,Zion National Park,2018,3
415,Chattahoochee River National Recreation Area,2016,3
416,Santa Monica Mountains National Recreation Area,2017,3
417,Amistad National Recreation Area,2014,3
418,Zion National Park,2013,3
419,Curecanti National Recreation Area,2020,3
420,Chesapeake & Ohio Canal National Historical Park,2020,3
421,Chesapeake & Ohio Canal National Historical Park,2022,3
422,Olympic National Park,2021,3
423,Grand Canyon National Park,2008,3
424,Joshua Tree National Park,2019,3
425,Sequoia & Kings Canyon National Parks,2022,3
426,Joshua Tree National Park,2021,3
427,Ozark National Scenic Riverways,2010,3
428,Acadia National Park,2012,3
429,Joshua Tree National Park,2017,3
430,Acadia National Park,2013,3
431,National Mall & Memorial Parks,2013,3
432,Jean Lafitte National Historical Park & Preserve,2015,3
433,Colorado National Monument,2014,3
434,Redwood National and State Parks,2013,3
435,Colorado National Monument,2017,3
436,Joshua Tree National Park,2011,3
437,Redwood National and State Parks,2014,3
438,Colorado National Monument,2021,3
439,Shenandoah National Park,2022,3
440,Denali National Park & Preserve,2019,3
441,Chattahoochee River National Recreation Area,2011,3
442,Pictured Rocks National Lakeshore,2021,3
443,Death Valley National Park,2020,3
444,Lake Meredith National Recreation Area,2018,3
445,Natchez Trace Parkway,2011,3
446,Cape Cod National Seashore,2017,3
447,Gulf Islands National Seashore,2020,3
448,Gulf Islands National Seashore,2019,3
449,Upper Delaware Scenic & Recreational River,2013,3
450,Delaware Water Gap National Recreation Area,2019,3
451,Gulf Islands National Seashore,2017,3
452,Gulf Islands National Seashore,2016,3
453,Upper Delaware Scenic & Recreational River,2015,3
454,Denali National Park & Preserve,2009,3
455,Lake Roosevelt National Recreation Area,2013,3
456,Denali National Park & Preserve,2014,3
457,Denali National Park & Preserve,2015,3
458,Canyonlands National Park,2013,3
459,Cape Hatteras National Seashore,2011,3
460,Upper Delaware Scenic & Recreational River,2008,3
461,Suitland,2008,3
462,Cuyahoga Valley National Park,2023,3
463,Zion National Park,2008,3
464,Anacostia Park,2021,3
465,Cuyahoga Valley National Park,2015,3
466,Sleeping Bear DunesNational Lakeshore,2016,3
467,Cuyahoga Valley National Park,2017,3
468,Death Valley National Park,2016,3
469,Suitland,2015,3
470,Grand Teton National Park,2007,3
471,Arches National Park,2016,3
472,Arches National Park,2019,3
473,Suitland,2023,3
474,Assateague Island National Seashore,2014,3
475,Mount Rushmore National Memorial,2018,2
476,Mount Rainier National Park,2021,2
477,Mount Rainier National Park,2015,2
478,New River Gorge National River,2007,2
479,National Mall & Memorial Parks,2023,2
480,Mount Rainier National Park,2023,2
481,Mount Rainier National Park,2022,2
482,Mount Rainier National Park,2017,2
483,Mount Rainier National Park,2016,2
484,Mojave National Preserve,2020,2
485,Mount Rainier National Park,2013,2
486,Ozark National Scenic Riverways,2014,2
487,Grand Teton National Park,2009,2
488,Hot Springs National Park,2016,2
489,Olympic National Park,2013,2
490,Olympic National Park,2014,2
491,Lake Meredith National Recreation Area,2015,2
492,Lake Meredith National Recreation Area,2012,2
493,Point Reyes National Seashore,2013,2
494,Point Reyes National Seashore,2012,2
495,Point Reyes National Seashore,2007,2
496,Haleakala National Park,2018,2
497,Pinnacles National Park,2021,2
498,Harpers Ferry National Historical Park,2017,2
499,Hawaii Volcanoes National Park,2009,2
500,Hawaii Volcanoes National Park,2015,2
501,Hawaii Volcanoes National Park,2022,2
502,Petroglyph National Monument,2018,2
503,Mojave National Preserve,2014,2
504,Pea Ridge National Military Park,2013,2
505,Padre Island National Seashore,2019,2
506,Padre Island National Seashore,2018,2
507,Indiana Dunes National Park,2020,2
508,Olympic National Park,2022,2
509,Lake Clark National Park & Preserve,2014,2
510,Ozark National Scenic Riverways,2018,2
511,Joshua Tree National Park,2013,2
512,Olympic National Park,2023,2
513,Kennesaw Mountain National Battlefield Park,2019,2
514,Kennesaw Mountain National Battlefield Park,2018,2
515,Organ Pipe Cactus National Monument,2023,2
